case_id,query_id,query,query_slice,candidate_source,sampling_target_rank,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
U_Q07_T70,Q07,A story about a complicated relationship between a parent and child,relationship,semantic_retrieval,70,70,9780440229087,Skellig,David Almond,"Unhappy about his baby sister's illness and the chaos of moving into a dilapidated old house, Michael retreats to the garage and finds a mysterious stranger who is something like a bird and something like an angel.",1.0.0,0.1.0,0,no match with central theme of complicated parent-child relationship,LABELLED
U_Q07_NEG,Q07,A story about a complicated relationship between a parent and child,relationship,random_negative_candidate,,,9780764555893,PHP and MySQL For Dummies,Janet Valade,"Shows Web developers how to use two popular open source technologies, the PHP scripting language and MySQL database, to build Web database applications This updated edition covers changes in PHP 5 and the latest version of MySQL, including programming techniques for the new PHP default setting, methods for handling MySQL security problems, and extended information about Apache Web Server and Mac OS X versions of PHP and MySQL Explains how to install Windows, Linux, and Mac OS X versions of PHP and MySQL Includes two complete sample applications: an online catalog and a members-only Web site Features a companion Web site with code examples from the book and links to the author's successful site Kevin Beaver has more than fifteen years of experience in security and information technology, specializing in security assessments and incident response Features a companion Web site with links to various utilities discussed throughout the book and practical security checklists",1.0.0,0.1.0,0,no match with central theme of complicated parent-child relationship,LABELLED
U_Q08_T10,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,10,10,9780553380163,A Brief History of Time,Stephen Hawking,"An anniversary edition of a now-classic survey of the origin and nature of the universe features a new introduction by the author and a new chapter on the possibility of time travel and ""wormholes"" in space",1.0.0,0.1.0,3,"strong match with central theme of astronomy and the universe but beginner-friendly qualifier 
is missing",LABELLED
U_Q08_T30,Q08,A beginner-friendly book explaining astronomy and the universe,nonfiction_topic,semantic_retrieval,30,30,9780140448153,Early Greek Philosophy,Jonathan Barnes,"Examines early Greek philosophy, which relied on reasoning and forged the first scientific vocabulary, and includes discussion of such topics as Democritus' atomic theory of matter and Pythagorean insights into mathematics.",1.0.0,0.1.0,0,no match with central theme of astronomy and the universe,LABELLED
U_Q09_T30,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,30,30,9780140238280,The Tortilla Curtain,T. Coraghessan Boyle,"The lives of two different couples--wealthy Los Angeles liberals Delaney and Kyra Mossbacher, and Candido and America Rincon, a pair of Mexican illegals--suddenly collide, in a story that unfolds from the shifting viewpoints of the various characters",1.0.0,0.1.0,0,"no match with dystopian story, authoritarian control and resistance spects",LABELLED
U_Q09_T70,Q09,A dystopian story about authoritarian control and resistance,genre_theme,semantic_retrieval,70,70,9780099437598,In Watermelon Sugar,Richard Brautigan,"iDEATH is a place where the sun shines a different colour every day and where people travel to the length of their dreams. Rejecting the violence and hate of the old gang at the Forgotten Works, they lead gentle lives in watermelon sugar. In this book, Richard Brautigan discovers and expresses the mood of a new generation.",1.0.0,0.1.0,0,"no match with dystopian story, authoritarian control and resistance spects",LABELLED
U_Q09_NEG,Q09,A dystopian story about authoritarian control and resistance,genre_theme,random_negative_candidate,,,9780970998712,Dark Rivers of the Heart/Intensity/Sole Survivor,Dean Koontz,"Dean Koontz is one of the world's top-selling authors with total worldwide sales of his novels at 225 million copies! He achieves what few writers can: he creates books that consistently jump to the top of the bestseller lists in both hardcover and paper. His newest novel had a half-million copy first printing, and it went straight to the Number One position in its first week on The New York Times and Publishers Weekly Bestseller lists! His many fans will snap up this handsome foil-and-embossed volume, with three of his best works in one book. The perfect impulse buy or gift. The collection includes the complete and unabridged novels Dark Rivers of the Heart, Intensity, and Sole Survivor. 6 1/4 X 9 1/4.",1.0.0,0.1.0,0,"no match with dystopian story, authoritarian control and resistance spects",LABELLED
U_Q10_T02,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,2,2,9780688039691,Leadership and the One Minute Manager,Ken Blanchard;Patricia Zigarmi;Drea Zigarmi,"In clear, simple terms Leadership and the One Minute Manager® teaches managers the art of Situational Leadership®--a simple system that refutes the conventional management mandate of treating all employees equally. Here, you'll learn why tailoring management styles to individual employees is so important; why knowing when to delegate, support, or direct is critical; how to identify the leadership style suited to a particular person; and how consistent use of the One Minute techniques will produce better management and enhanced motivation on all levels. This remarkable, easy-to-follow book is a priceless guide to creative, personalized leadership that elicits the best performance from your staff--and the best bottom line for any business. If your management motto is ""everyone should be treated equally,"" Leadership and the One Minute Manager. will show you why this style not only hinders workplace efficiency, but also frustrates your staff. In clear, simple terms, Ken Blanchard, co-author of the enormously popular The One Minute Manager., coupled with business gurus Patricia and Drea Zigarmi, teach managers the art of Situational Leadership.. You'll learn why tailoring management styles to individual employees is so important; when to delegate, support, or direct; how to identify the leadership style suited to a particular person; and how consistent use of the One Minute techniques will produce better management and enhanced motivation on all levels. This remarkable, easy-to-follow book is a priceless guide to creative, personalized leadership that elicits the best performance from your staff and the best bottom line for any business.",1.0.0,0.1.0,3,"strong match with leadership, teamwork but building effective organizations is implied",LABELLED
U_Q10_T30,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,30,30,9780452288195,War and Peace and War,Peter Turchin,"Argues that the key to the formation of an empire lies in a society's capacity for collective action, resulting from people banding together to confront a common enemy, and describing how the growth of empires leads to a growing dichotomy between rich and poor, increasing conflict instead of cooperation, and inevitable dissolution. Reprint. 25,000 first printing.",1.0.0,0.1.0,0,"no match with leadership, teamwork, and building effective organizations",LABELLED
U_Q10_T70,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,70,70,9780736910194,Life Management for Busy Women,Elizabeth George,"Women eager to bring simplicity to their busy lives will embrace the principles presented in this exciting study guide based on Elizabeth George's new Life Management for Busy Women. With clear and inspired steps for women eager to become better stewards of their time and their lives, this study guide complements all the major sections of the book, including: Spiritual Life: first things first Home Life: minding the stewardship of place Mental Life: minding your mind Easily adaptable to individual or group study, Life Management for Busy Women Growth and Study Guide will help women of all ages, in all stages of life, learn to see and follow God's blueprint for their lives.",1.0.0,0.1.0,0,"no match with leadership, teamwork, and building effective organizations",LABELLED
U_Q11_T10,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,10,10,9780786282258,The Lightning Thief,Rick Riordan,"After learning that he is the son of a mortal woman and Poseidon, god of the sea, twelve-year-old Percy is sent to a summer camp for demigods like himself, and joins his new friends on a quest to prevent a war between the gods.",1.0.0,0.1.0,3,"strong match with mythology, gods, quest/adventure but legendary heroes aspect is implied",LABELLED
U_Q11_T70,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,70,70,9780142003718,I Should be Extremely Happy in Your Company,Brian Hall,A fictionalized account based on the Lewis and Clark expedition to the Pacific Ocean seeks to convey what was happening in the minds of the explorers and to bring life to the collision of white and Native American cultures of the period. Reprint.,1.0.0,0.1.0,2,"adventure aspect is satisfied but no strong match with mythology, gods, and legendary heroes",LABELLED
U_Q12_T02,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,2,2,9781929229482,A Framework for Understanding Poverty,Ruby K. Payne,"Identifies the factors that cause poverty, including the lack of financial, emotional, mental, spiritual, and physical resources; and guides educators and others in understanding poverty and counteracting its effects in the classroom and community.",1.0.0,0.1.0,2,direct match with poverty but no match with inequality and how society distributes wealth,LABELLED
U_Q12_T30,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,30,30,9780465081424,A Conflict Of Visions,Thomas Sowell,"Controversies in politics arise from many sources, but the conflicts that endure for generations or centuries show a remarkably consistent pattern. In this classic work, Thomas Sowell analyzes this pattern. He describes the two competing visions that shape our debates about the nature of reason, justice, equality, and power: the ""constrained"" vision, which sees human nature as unchanging and selfish, and the ""unconstrained"" vision, in which human nature is malleable and perfectible. A Conflict of Visions offers a convincing case that ethical and policy disputes circle around the disparity between both outlooks.",1.0.0,0.1.0,1,"incidental match with inequality and no match with poverty,societal wealth distribution",LABELLED
