case_id,query_id,query,query_slice,candidate_source,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
Q10_R05,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,5,9780060566104,Built to Last,Jim Collins;Jerry I. Porras,"""This is not a book about charismatic visionary leaders. It is not about visionary product concepts or visionary products or visionary market insights. Nor is it about just having a corporate vision. This is a book about something far more important, enduring, and substantial. This is a book about visionary companies."" So write Jim Collins and Jerry Porras in this groundbreaking book that shatters myths, provides new insights, and gives practical guidance to those who would like to build landmark companies that stand the test of time. Drawing upon a six-year research project at the Stanford University Graduate School of Business, Collins and Porras took eighteen truly exceptional and long-lasting companies -- they have an average age of nearly one hundred years and have outperformed the general stock market by a factor of fifteen since 1926 -- and studied each company in direct comparison to one of its top competitors. They examined the companies from their very beginnings to the present day -- as start-ups, as midsize companies, and as large corporations. Throughout, the authors asked: ""What makes the truly exceptional companies different from other companies?"" What separates General Electric, 3M, Merck, Wal-Mart, Hewlett-Packard, Walt Disney, and Philip Morris from their rivals? How, for example, did Procter & Gamble, which began life substantially behind rival Colgate, eventually prevail as the premier institution in its industry? How was Motorola able to move from a humble battery repair business into integrated circuits and cellular communications, while Zenith never became dominant in anything other than TVs? How did Boeing unseat McDonnell Douglas as the world's best commercial aircraft company -- what did Boeing have that McDonnell Douglas lacked? By answering such questions, Collins and Porras go beyond the incessant barrage of management buzzwords and fads of the day to discover timeless qualities that have consistently distinguished out-standing companies. They also provide inspiration to all executives and entrepreneurs by destroying the false but widely accepted idea that only charismatic visionary leaders can build visionary companies. Filled with hundreds of specific examples and organized into a coherent framework of practical concepts that can be applied by managers and entrepreneurs at all levels, Built to Last provides a master blueprint for building organizations that will prosper long into the twenty-first century and beyond.",0.3.0,0.1.0,2,"Building effective organizations is extremely strong, but teamwork is absent and the description explicitly says it isn't about charismatic leaders.",LABELLED
Q10_R20,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,20,9780743269513,The 7 Habits of Highly Effective People,Stephen R. Covey,"In The 7 Habits of Highly Effective People, author Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, Covey reveals a step-by-step pathway for living with fairness, integrity, service, and human dignity—principles that give us the security to adapt to change and the wisdom and power to take advantage of the opportunities that change creates.",0.3.0,0.1.0,1,central themes are incidental,LABELLED
Q10_R50,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,semantic_retrieval,50,9780861711765,Eight Mindful Steps to Happiness,Henepola Gunaratana,"The author plumbs the ""Eightfold Path"" of Buddhism for advice on how to live life with the proper attention to understanding, thinking, speech, action, livelihood, effort, mindfulness, and concentration.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q10_NEG,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,random_negative_candidate,,9781593080037,Ward No. 6 and Other Stories,Anton Pavlovich Chekhov,"Ward No. 6 and Other Stories, by Anton Chekhov, is part of theBarnes & Noble Classics series, which offers quality editions at affordable prices to the student and the general reader, including new scholarship, thoughtful design, and pages of carefully crafted extras. Here are some of the remarkable features of Barnes & Noble Classics: New introductions commissioned from today''s top writers and scholars Biographies of the authors Chronologies of contemporary historical, biographical, and cultural events Footnotes and endnotes Selective discussions of imitations, parodies, poems, books, plays, paintings, operas, statuary, and films inspired by the work Comments by other famous authors Study questions to challenge the reader''s viewpoints and expectations Bibliographies for further reading Indices & Glossaries, when appropriate All editions are beautifully designed and are printed to superior specifications; some include illustrations of historical interest. Barnes & Noble Classics pulls together a constellation of influences--biographical, historical, and literary--to enrich each reader''s understanding of these enduring works. Anton Chekhov invented the modern short story. With writing that is concise, realistic, and evocative, he became a sort of photographer in words, less interested in plot than in the subtleties of mood and atmosphere, and the telling detail. His characters, always vividly drawn, come from all walks of life and often seem to be caught up in a world they don''t quite understand. Early in his brief literary career, Chekhov outlined in a letter to his brother his idea of the ingredients of a good short story. Arguing against moral judgments and political, economic, or social commentary, he wrote, ""To describe . . . you need . . . to free yourself from the personal expression. . . . Subjectivity is a terrible thing."" Instead, he favored objectivity, truthfulness, originality, compassion, and brevity. Although his writing developed and matured, he remained largely faithful to these principles. This new selection of twenty-three stories explores the entire range of Chekhov''s short fiction, from early sketches, such as ""The Cook''s Wedding"" (1885) and ""On the Road"" (1886) to late works, such as ""In the Ravine"" (1900) and ""The Bishop"" (1902). Ward No. 6 and Other Stories includes some of his most popular tales, such as the title story and ""The Lady with the Dog"" (1899), as well as several lesser-known works, no less masterful in their composition. David Plante is a Professor of Writing at Columbia University. He is the author of many novels, including The Ghost of Henry James, The Family (nominated for the National Book Award), and The Woods. He has been a contributor to The New Yorker, Esquire, and Vogue, and a reviewer and features writer for the New York Times Book Review.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q11_R01,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,1,9780618894642,Children of Húrin,John Ronald Reuel Tolkien,"A fantasy adventure saga set in the early days of Middle-Earth features humans and elves, dwarves and dragons, orcs and dark sorcerers clashing in an epic battle between good and evil.",0.3.0,0.1.0,3,"gods,legendary heroes are not as explict",LABELLED
Q11_R05,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,5,9781932796780,Dragons of Winter Night,Margaret Weis;Tracy Hickman;Andrew Dabb,"When dragons invade the land, a small band of heroes, including a knight, barbarian, dwarf, and half-elf, begin the search for the magical Dragon Orb and Dragonlance, in the second volume of the Dragonlance Chronicles in a graphic novel format. Original.",0.3.0,0.1.0,3,"gods,mythology aspects are not as explict",LABELLED
Q11_R20,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,20,9780786809295,Tales from the Odyssey: The Land of the Dead - Book #2,Mary Pope Osborne,"Odysseus and his men have defeated the one-eyed giant, but its curse follows them at every turn. Cast out to the open seas by the wind god, Odysseus and his fleet continue the difficult journey home. But they cannot return to Ithaca yet. First they must take on giant cannibals and outwit a beautiful witch, who reveals Odysseus’ next challenge – a journey to the mysterious and feared land of the dead.",0.3.0,0.1.0,4,all central themes match,LABELLED
Q11_R50,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,50,9780765343116,Pet Peeve,Piers Anthony,"Unlikely Goblin hero Goody is instructed by the Good Magician Humfrey to find a suitable home for a foul-tempered bird, a quest that inadvertently triggers an invasion by an army of seemingly indestructible killer robots and forces Goody to enlist the aid of a host of supernatural denizens. Reprint.",0.3.0,0.1.0,2,"It clearly contains an adventure, quest, hero and supernatural elements; mythology/gods are what's missing.",LABELLED
Q11_NEG,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,random_negative_candidate,,9780748702558,Romeo and Juliet,William Shakespeare,"Presents the original text of Shakespeare's play side by side with a modern version, discusses the author and the theater of his time, and provides quizzes and other study activities.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q12_R01,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,1,9780495006855,Sociology in Our Times,Diana Kendall,"This cutting-edge, applied book highlights the relevance of sociology by including a diverse collection of theories, research, and lived experiences that accurately mirror the diversity in society itself. The author’s vivid, applied, personal writing style engages students, and activates compelling everyday examples that make sociology particularly relevant to today’s diverse students. SOCIOLOGY IN OUR TIMES is noted for its especially strong integration of engaging Lived Experiences - extended examples that focus on various issues to illustrate chapter coverage. These extended examples are introduced with the vignette that opens each chapter and are then carried throughout the chapter in various boxes, features, and exercises. Kendall’s text is acclaimed in the field for being the first textbook to integrate race, class, and gender issues, and for its thorough presentation of sociological theory, which includes diverse theoretical viewpoints such as feminist and postmodernist theory. Kendall shows students that sociology involves important questions and issues that they confront both personally and vicariously. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",0.3.0,0.1.0,1,central themes are incidental,LABELLED
Q12_R05,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,5,9780745628479,Political Philosophy: A Beginner's Guide for Students and Politicians,Adam Swift,"Politicians invoke grand ideas: social justice, liberty, equality,community. But what do these ideas really mean? How can politicians across the political spectrum appeal to the same values? Political Philosophy: A Beginners' Guide for Students and Politicians answers these important questions. Accessible and lively, the book is an ideal student text, but it also brings the insights of the world's leading political philosophers to a wide general audience. Using plenty of examples, it equips readers to think for themselves about the ideas that shape political life. Democracy works best when both politicians and voters move beyond rhetoric to think clearly and carefully about the political principles that should govern their society. But clear thinking is difficult in an age when established orthodoxies have fallen by the wayside. Bringing political philosophy out of the ivory tower and within the reach of all, this book provides us with tools to cut through the complexities of modern politics. In so doing, it makes a valuable contribution to the democratic process.",0.3.0,0.1.0,2,"It directly discusses social justice and equality. Poverty and wealth distribution are absent, making it a partial match rather than no match.",LABELLED
Q12_R20,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,20,9780761929949,The Politics of Injustice,Katherine Beckett;Theodore Sasson,"Examining the role of crime in American politics and culture, The Politics of Injustice, Second Edition provides a better understanding of the nature of crime and punishment in America, as well as the cultural and political contexts in which they occur. Updated throughout, this book will be of interest to students in all areas of Criminology especially those involved in critical issues in Criminal Justice.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q12_R50,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,50,9780451217769,A Certain Justice,John T. Lescroart,"A novel that examines the nature of justice--and injustice--follows an ordinary man who, through no fault of his own, is hounded, hunted, and almost destroyed for a crime he did not commit.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
Q12_NEG,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,random_negative_candidate,,9780060854096,Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,"She thought her date was out of this world. Actually, he was not of this world . . . We've all been on bad dates, nightmare dates, dreadful experiences that turned out to be uniquely memorable in the very worst way. But at least our partners for these detestable evenings were more or less . . . human! Now Kim Harrison, Lynsay Sands, Kelley Armstrong, and Lori Handeland -- four of the very best writers currently exploring the dangerous seduction of the supernatural -- offer up dating disasters (and unexpected delights) of a completely different sort: dark, wicked, paranormally sensual assignations with werewolves, demon lovers, and the romantically challenged undead. Sexy, witty, chilling, and altogether remarkable, here is proof positive that some love matches are made someplace other than heaven.",0.3.0,0.1.0,0,no match to any central theme or plot aspects,LABELLED
