case_id,query_id,query,query_slice,candidate_source,sampling_bucket,sampling_target_rank,retrieval_rank,isbn13,title,authors,description,dataset_version,rubric_version,human_score,human_reason,review_status
U2_Q10_NEG,Q10,"A book about leadership, teamwork, and building effective organizations",nonfiction_business,random_negative_candidate,NEG,,,9781840462685,Jean Rhys,Carl Plasa,"In this Reader's Guide, Carl Plasa provides a comprehensive survey and analysis of the most stimulating critical responses to Wide Sargasso Sea. The opening chapter outlines initial reactions to the novel from English and Caribbean critics, charting the differences between them. Chapter Two explores Wide Sargasso Sea 's dialogue with Jane Eyre and the theoretical questions it has raised. Succeeding chapters examine how critics have assessed the racial politics of Rhys's text, discuss the novel's African Caribbean cultural legacy, and explore how critics read the work both in terms of its moment of production and the early Victorian period in which it is set.",2.0.0,0.1.0,0,"no match with leadership, teamwork, and building effective organizations",LABELLED
U2_Q11_T02,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,T02,2.0,3.0,9780786809301,Sirens and Sea Monsters,Mary Pope Osborne,"Odysseus and his men have done what no other mortals have done: returned alive from the terrifying Land of the Dead. Armed with warnings and advice from the ghosts of the prophet Tiresias, Odysseus is determined to finally sail home to Ithaca. But the enchantress Circe tells him that the Greeks will face even more horrors on their journey, including an encounter with Scylla, the six-headed monster, and Charybdis, the deadly whirlpool. Who will survive these terrors-and how? In this third of six books based on episodes from Homer's Odyssey, Mary Pope Osborne continues the exciting adventures of one of the greatest heroes of all time.",2.0.0,0.1.0,4,direct recommendation,LABELLED
U2_Q11_T10,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,T10,10.0,11.0,9780743477888,Undaunted Courage,Stephen E. Ambrose,"'This was much more than a bunch of guys out on an exploring and collecting expedition. This was a military expedition into hostile territory'. In 1803 President Thomas Jefferson selected his personal secretary, Captain Meriwether Lewis, to lead a pioneering voyage across the Great Plains and into the Rockies. It was completely uncharted territory; a wild, vast land ruled by the Indians. Charismatic and brave, Lewis was the perfect choice and he experienced the savage North American continent before any other white man. UNDAUNTED COURAGE is the tale of a hero, but it is also a tragedy. Lewis may have received a hero's welcome on his return to Washington in 1806, but his discoveries did not match the president's fantasies of sweeping, fertile plains ripe for the taking. Feeling the expedition had been a failure, Lewis took to drink and piled up debts. Full of colourful characters - Jefferson, the president obsessed with conquering the west; William Clark, the rugged frontiersman; Sacagawea, the Indian girl who accompanied the expedition; Drouillard, the French-Indian hunter - this is one of the great adventure stories of all time and it shot to the top of the US bestseller charts. Drama, suspense, danger and diplomacy combine with romance and personal tragedy making UNDAUNTED COURAGE an outstanding work of scholarship and a thrilling adventure.",2.0.0,0.1.0,1,"good match with adventure but no match with mythology, gods, and legendary heroes",LABELLED
U2_Q11_T30,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,T30,30.0,31.0,9780060009427,How to Read Literature Like a Professor,Thomas C. Foster,"What does it mean when a fictional hero takes a journey?. Shares a meal? Gets drenched in a sudden rain shower? Often, there is much more going on in a novel or poem than is readily visible on the surface—a symbol, maybe, that remains elusive, or an unexpected twist on a character—and there's that sneaking suspicion that the deeper meaning of a literary text keeps escaping you. In this practical and amusing guide to literature, Thomas C. Foster shows how easy and gratifying it is to unlock those hidden truths, and to discover a world where a road leads to a quest; a shared meal may signify a communion; and rain, whether cleansing or destructive, is never just rain. Ranging from major themes to literary models, narrative devices, and form, How to Read Literature Like a Professor is the perfect companion for making your reading experience more enriching, satisfying, and fun.",2.0.0,0.1.0,0,"no match with adventure,mythology, gods, and legendary heroes",LABELLED
U2_Q11_T70,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,semantic_retrieval,T70,70.0,71.0,9781587155871,The Lure of the Basilisk,Lawrence Watt-Evans,The overman named Garth sought immortal fame. The oracle told him to serve the Forgotten King to get that fame. But this King sent Garth after a basilisk whose gaze could turn men to stone. What sane use could anyone have for a monster like that?,2.0.0,0.1.0,2,adventure/gods aspect is present but mythology/legendary heroes aspect is missing,LABELLED
U2_Q11_NEG,Q11,"An adventure inspired by mythology, gods, and legendary heroes",mythology,random_negative_candidate,NEG,,,9780446362665,Summer of Night,Dan Simmons,"In the summer of 1960 in Elm Haven, Illinois, five 12-year-old boys forge the powerful bonds that a lifetime of change will not break. An ancient, sinister evil lurks in the dark, and when a long-silent bell peals in the middle of the deepest night, the people know it marks the beginning of terror. Now Mike, Duane, Dale, Harlen, and Kevin must wage a fraternal war of blood against an arcane abomination.",2.0.0,0.1.0,1,"good match with adventure but no match with mythology, gods, and legendary heroes",LABELLED
U2_Q12_T02,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,T02,2.0,4.0,9781566631327,Wittgenstein's Vienna,Allan Janik;Stephen Toulmin,"This is a remarkable book about a man (perhaps the most important and original philosopher of our age), a society (the corrupt Austro-Hungarian Empire on the eve of dissolution), and a city (Vienna, with its fin-de siecle gaiety and corrosive melancholy). The central figure in this study of a crumbling society that gave birth to the modern world is Wittgenstein, the brilliant and gifted young thinker. With others, including Freud, Viktor Adler, and Arnold Schoenberg, he forged his ideas in a classical revolt against the stuffy, doomed, and moralistic lives of the old regime. As a portrait of Wittgenstein, the book is superbly realized; it is even better as a portrait of the age, with dazzling and unusual parallels to our own confused society. Allan Janik and Stephen Toulmin have acted on a striking premise: an understanding of prewar Vienna, Wittgenstein s native city, will make it easier to comprehend both his work and our own problems .This is an independent work containing much that is challenging, new, and useful. New York Times Book Review.""",2.0.0,0.1.0,0,"No match with inequality, poverty and how society distributes wealth",LABELLED
U2_Q12_T10,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,T10,10.0,11.0,9780520243262,Pathologies of Power,Paul Farmer,"""Pathologies of Power"" uses harrowing stories of life and death to argue thatthe promotion of social and economic rights of the poor is the most importanthuman rights struggle of our times.",2.0.0,0.1.0,3,"Strong match with inequality, poverty,but how society distributes wealth is missing",LABELLED
U2_Q12_T30,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,T30,30.0,31.0,9780896087644,Outsiders Within,Jane Jeong Trenka;Julia Chinyere Oparah;Sun Yung Shin,"""Explores transracial adoption from adopted adults' perspectives using memoir, reflective/analytical essays, poetry, artwork, film critique, psychology, sociology, critical race, reproductive justice, more. Discusses reasons children become available forinternational adoption (war, poverty, structural inequities), ramifications of the colorblind ideal for adoptees (dealing with racism, cultural alienation, emotional isolation)""--Provided by publisher.",2.0.0,0.1.0,0,"No match with inequality, poverty and how society distributes wealth",LABELLED
U2_Q12_T70,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,semantic_retrieval,T70,70.0,72.0,9780911589030,Aristotle's Nicomachean Ethics,Aristotle;Hippocrates George Apostle,"Aristotle's Nicomachean Ethics is perhaps one of the most influential treatise on moral philosophy. It is a central text in Greek ethics, a primary source of medieval ethics, and a stimulus to thought about morality. Questions discussed include: human happiness and welfare; the nature of a good person; the psychology of action and character; the virtues of character and intellect; praise, blame, and moral resposibility; practical reason; weakness of will; self-interest and the interests of others; the role of friendship in the good life; and the relation between pleasure and goodness.",2.0.0,0.1.0,0,"No match with inequality, poverty and how society distributes wealth",LABELLED
U2_Q12_NEG,Q12,"A thoughtful book about inequality, poverty, and how society distributes wealth",nonfiction_social_science,random_negative_candidate,NEG,,,9780449221396,Driving Force,Dick Francis,"When a hitchhiker picked up by one of his drivers is later found murdered, ex-jockey Freddie Croft, the owner of a profitable fleet of horse vans, is drawn into the mystery.",2.0.0,0.1.0,0,"No match with inequality, poverty and how society distributes wealth",LABELLED
